ASPECT_RATIO_1_X,ASPECT_RATIO_1_Y,ASPECT_RATIO_1.5_X,ASPECT_RATIO_1.5_Y,ASPECT_RATIO_2_X,ASPECT_RATIO_2_Y,ASPECT_RATIO_3_X,ASPECT_RATIO_3_Y,ASPECT_RATIO_6_X,ASPECT_RATIO_6_Y
-19.812219296887093,0.0015909090909090803,-19.122076815858748,0.00138636363636363,-19.122076815858748,0.00138636363636363,-18.784265138609257,0.0014545454545454445,-19.799152083010682,0.0012840909090908875
-12.28889190026328,0.0009431818181818152,-15.704758401734551,0.0011477272727272517,-15.021875483970874,0.0011136363636363375,-14.168634814929533,0.0010795454545454303,-13.30668266997057,0.0008409090909090797
-6.818568994889262,0.0005000000000000074,-7.843619327861234,0.000568181818181808,-6.818568994889262,0.0004999999999999935,-8.184334830416603,0.0005681818181818149,-6.814213256930458,0.0003977272727272718
6.8507046616075655,-0.00045454545454545747,-0.668266997057458,0.000090909090909079,2.406884001858444,-0.00011363636363638518,0.018971658665016378,-0.00004545454545453603,-1.6904135047235584,0.00009090909090908594
12.316671829022752,-0.0007954545454545436,7.191420164162935,-0.00045454545454545747,13.002458572092294,-0.000897727272727307,9.241520830106865,-0.0005909090909091003,5.487842651386103,-0.00045454545454545053
17.78263899643798,-0.0011363636363636506,16.761944401424813,-0.0011704545454545856,19.497831810438285,-0.0014090909090909293,16.419776986216505,-0.0011363636363636506,13.006814310051112,-0.0010000000000000217
24.272204584172215,-0.0015113636363636648,23.252961901811986,-0.0015795454545454862,29.409071550255547,-0.0021250000000000158,25.652489546228892,-0.0019204545454545863,22.238074957410547,-0.0017500000000000362
28.716025243921322,-0.001852272727272758,31.114100975685304,-0.002159090909090944,41.71838702183675,-0.003147727272727302,32.83219761499147,-0.00250000000000003,33.52379200867274,-0.0027386363636363875
36.57716431779464,-0.0024318181818182086,38.97524004955861,-0.0027386363636364083,49.93766455010065,-0.004136363636363667,41.7329061483661,-0.0034886363636363674,45.51126684218676,-0.004204545454545461
42.73037014093232,-0.0029090909090909375,46.157851943627065,-0.0033863636363636734,55.081791079448664,-0.004920454545454575,45.15603221310205,-0.0038636363636363816,52.37349001084095,-0.005329545454545483
50.59586495276443,-0.00359090909090911,54.72074879975219,-0.004443181818181853,59.725007743534135,-0.005943181818181847,51.32956481338083,-0.004818181818181846,56.3309199318569,-0.006250000000000033
54.69897010995818,-0.00393181818181821,59.86777915440608,-0.005295454545454555,,,56.13878349078519,-0.005738636363636411,59.60982267306798,-0.0072386363636363915
60.001839089360374,-0.004443181818181839,,,,,59.93456713644106,-0.00686363636363637,,
