SWEEP_50_0_X,SWEEP_50_0_Y,SWEEP_50_40_X,SWEEP_50_40_Y,SWEEP_50_60_X,SWEEP_50_60_Y
0.03432460423139494,-0.000001722148246782046,0.05138827242688704,-0.000004302411599348653,0.017112985155594895,-0.000001720668737979032
0.49746017655471775,-0.000029269122651279927,0.5317847807861122,-0.00003099127089806197,0.635153129161119,-0.000029280958721704473
1.0811757163288451,-0.000055107264388223106,1.046900429057553,-0.000052525521526852834,1.6486659762292248,-0.00006375203432460418
1.8712827341322678,-0.00008354194407456691,1.9058046062040734,-0.00008182571386299725,2.559599546283967,-0.00008617990827045432
2.62736104946491,-0.00010509690782660149,2.730778714800019,-0.00010252700103565609,3.935296148345416,-0.00010778813433939946
3.589929476747053,-0.00012752922029886057,3.521526853084775,-0.00011978695073235686,5.105045125018493,-0.000119063470927652
4.5871184100212075,-0.00014652611333037407,4.622034817773833,-0.00013793312620210098,6.1028258618138755,-0.00012774522858411015
5.7564235340533605,-0.0001655378014499187,5.4476007298910085,-0.00014831927799970382,6.894313754500172,-0.00013211125906199166
6.547615524979041,-0.0001750613996153276,6.376436356462986,-0.00015871430685012572,7.943975933323469,-0.0001364994821719187
7.235636435370123,-0.0001828569314987423,7.374167776298269,-0.00016825565912117178,,
7.940868964837008,-0.00019065394289096013,7.976377176110865,-0.00017174582038763137,,
