TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_0.2_X,TAPER_RATIO_0.2_Y,TAPER_RATIO_0.4_X,TAPER_RATIO_0.4_Y
2.0289716889255143,0.005444756968801288,2.0052712945999875,0.006786327713408135,2.000912601390695,0.007978866175470478
2.2343751064134088,0.005817810515541951,2.2108109212506735,0.007122114433209349,2.1502659483903486,0.008258647579222653
2.524023891087154,0.006284188743091033,2.47226440922681,0.007588440122938495,2.355601261296848,0.008650334539433037
2.7763513651563345,0.00667596326633464,2.658939066831026,0.007942825230996143,2.654512269040339,0.009153997106528212
3.112924206411366,0.00716106247038667,2.8644786934817112,0.008278611950797356,2.95355948594662,0.009620392846683935
3.3655240988061257,0.007478303339751373,3.088542766271887,0.008688967349690753,3.3460461885271027,0.010236031020663897
3.59013300824747,0.007739591430886979,3.2942186020853628,0.008987487242552519,3.6264327501311024,0.010665124908666888
3.7960812623865223,0.007963577669869848,3.518486988619725,0.009341942401036744,3.9068193117351013,0.011094218796669877
4.086615406618404,0.008187721522312518,3.7428915843168777,0.009659130732581522,4.206070842385568,0.011504714296416432
4.574312313989362,0.008468133379903894,4.004549386037199,0.0100695561819015,4.523983028338318,0.011952511648315723
4.893518486988621,0.008561895875878427,4.303732812106271,0.010498685095117775,4.879216524895631,0.012474912704520485
5.363303889452644,0.008600038333150097,4.640373757942698,0.01096515088570008,5.141078640360138,0.01282943791343129
5.626528096545055,0.008581895272666418,4.958422153058237,0.011375681410659921,5.552294102824297,0.013463744526094267
5.927618450893193,0.008489288608730423,5.2388768192436315,0.011786141885193184,5.7391730741727,0.013762229393742742
6.397880585426983,0.008396997171714023,5.472816056336108,0.012066080902405161,6.038901336892933,0.014042290999201226
6.736564668705266,0.008304460558204605,5.725347844149478,0.012401955185239595,6.433022549426901,0.014210727249907813
7.074976333657966,0.008286457598574081,5.987618587102355,0.012644679913332051,6.958721813216376,0.01437940867710742
7.4319805493315565,0.008324389904566019,6.306552341776027,0.012812976063185481,7.315181192238803,0.01456640829085715
7.807781629470216,0.008362357235771249,6.720083360007627,0.01281374661787784,7.858791960935213,0.01497735911837646
8.22063160188786,0.008549461925160847,7.0583588157975425,0.012833010485186765,8.233707681515735,0.015257560824688102
8.558498430189399,0.008680526273288115,7.443490223587342,0.01288962874246836,8.6646734725845,0.01563103467398823
8.952211015234997,0.008960763004813044,7.941266609004791,0.012983723977969135,9.039384879420837,0.015967136620709043
9.251734964211042,0.009296724850680702,8.579542745840527,0.013208515796857652,9.395027003466524,0.016377737196095463
9.495072633536061,0.00957668138049932,9.207603195466948,0.013656891064776213,9.67548166965192,0.016788197670628727
9.971736598720998,0.010304277648757425,9.965607186395435,0.01455271343246117,9.974460781976806,0.017273226824254178
