SWEEP_50_0_X,SWEEP_50_0_Y,SWEEP_50_40_X,SWEEP_50_40_Y,SWEEP_50_60_X,SWEEP_50_60_Y
0.016972520444172634,-0.0000017291066282256818,-0.017420475529208,-8.645533141046552e-7,8.881784197001252e-16,1.6371452804531117e-17
0.41047617625539523,-0.000023342939481251564,0.7016967543165453,-0.000037175792507188206,0.3763818170053721,-0.000020749279538888484
0.8214003075958258,-0.000044092219020156473,1.2156505552154417,-0.00006138328530257717,0.9585243364043148,-0.00005014409221900377
1.3353541084947214,-0.00006829971181554549,1.952636215675441,-0.00009423631123917661,1.8165574153987043,-0.00008213256484148213
2.175220120151508,-0.00010547550432275012,2.622030431082109,-0.0001184438040345656,2.7100287188982293,-0.00010893371757923423
3.05037503795175,-0.00013832853025934946,3.39505158949396,-0.00014265129682995465,3.398336593450896,-0.00012363112391929184
4.1842986765415855,-0.00017291066282419098,4.289269484801877,-0.00016512968299710164,4.500554966577574,-0.00014178674351583365
5.284575910966436,-0.0002023054755043062,5.356348270146779,-0.00018674351585012754,5.4311069965606995,-0.0001538904899135282
6.007426099854164,-0.00021700288184436383,6.354939700268274,-0.00020489913544666935,6.431490247022341,-0.00016167146974061753
6.695883292768509,-0.00023083573487030044,7.216407101581278,-0.00021700288184436386,7.293704240143742,-0.00016945244956770688
7.315703812097772,-0.0002420749279538739,7.974396878250784,-0.00022824207492793736,7.9836546166748805,-0.00017463976945243312
7.987188484567947,-0.00025417867435156843,,,,
