TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_0.2_X,TAPER_RATIO_0.2_Y,TAPER_RATIO_0.4_X,TAPER_RATIO_0.4_Y,TAPER_RATIO_0.6_X,TAPER_RATIO_0.6_Y,TAPER_RATIO_1_X,TAPER_RATIO_1_Y
2.9958832508441624,0.00023965544711184936,3.027152042185114,-0.00028924145941584475,2.9897775105231483,-0.0007300471293255426,3.0177158980526384,-0.001060599986637269,2.9979184976178335,-0.0012148881385201293
3.754105185253711,0.0004166602422765965,3.673065359174797,-0.00009030122680152818,3.6800962116656626,-0.0005090275529241262,3.5960960266432282,-0.0008396832004769475,3.6884222211943163,-0.0010048876759640446
4.779869559184049,0.0006600264170919601,4.520098061890002,0.00013086225593742038,4.348027198297792,-0.00028802853457092926,4.041445025209305,-0.0006960235595232598,4.0895508580415365,-0.0008943264926427894
6.298533697210783,0.0008818066412774753,5.456311577778801,0.0003741461985599069,5.150469494426196,-0.00007792528177374882,4.843517276469769,-0.00046388207903541763,4.669041121235947,-0.0007395243895544556
7.41588417595633,0.001004044795987067,6.527036403163879,0.0006065343756263769,5.730514824922518,0.000043819479778588015,5.512188352837778,-0.0002869595160635459,5.159905638558672,-0.0006399000878856576
8.532124520098055,0.0011923976337686482,7.643646792173546,0.0007728489857172947,6.4439613303112955,0.00022078315884689788,6.448771913594517,-0.00006571380113172196,5.873722188815392,-0.00048497463650801036
9.335676950830283,0.0013363862034938391,8.893658356075669,0.0009943825133241829,7.024191683241589,0.0003315088065539047,7.0286322216568715,0.00006705007426594835,6.856006290762751,-0.0003187833747064061
10.228040149868164,0.0015245334607932306,9.741246126092783,0.0011824886545271371,7.9163698598455,0.0005306751776986279,7.787409223368328,0.00021099752789470114,7.793699986123312,-0.00016365234284657082
10.986262084277698,0.0017015382559579777,10.967389796012739,0.0014921545348484605,8.585781025949391,0.0006635212852891736,8.724732873860951,0.000388166787445199,8.50844164854988,-0.00006382246069558221
,,,,9.25519219205328,0.0007963673928797184,9.34899856607613,0.00054301000662997,9.445950321476474,0.00010232768500958393
,,,,9.92386326842129,0.0009732899558515893,9.928488829270542,0.0006978121097183021,10.1603219390351,0.000224195794851236
,,,,10.503353531615701,0.0011280920589399222,10.418798279291355,0.000830493752923097,10.963504324899386,0.0003902225922670895
,,,,10.949257597483687,0.0012386943583576155,10.998103520051792,0.0009963149698567599,,
