ASPECT_RATIO_1_X,ASPECT_RATIO_1_Y,ASPECT_RATIO_2_X,ASPECT_RATIO_2_Y,ASPECT_RATIO_4_X,ASPECT_RATIO_4_Y,ASPECT_RATIO_6_X,ASPECT_RATIO_6_Y,ASPECT_RATIO_8_X,ASPECT_RATIO_8_Y
-19.79300080957529,0.001147938976444756,-19.62381411763566,0.0011822029173796898,-19.457536079425644,0.0012846457017369403,-20.151734769561905,0.0015566629985310915,-19.817724366277062,0.0017274591455344324
-12.60717177054601,0.000712106301598351,-12.60717177054601,0.000712106301598351,-15.349062686335635,0.000982029367707176,-14.32957955410339,0.0010853447481833124,-14.67667889917152,0.001221353396580388
-3.367833198404135,0.00014201017059264215,-5.0786063670430295,0.0002425332434883437,-10.216743180418945,0.0006804601490200748,-5.765533422855242,0.0003441034317267083,-6.11263276792338,0.0004801120801237839
6.209878757617027,-0.0003595580785431922,4.157823551369226,-0.00025938404409504845,-2.0027050479685613,0.00014340632438286302,5.187486971655154,-0.0003946946155970188,4.509285877031793,-0.0004976609576255973
17.8454632273452,-0.0010976580489718106,12.711689394563699,-0.0007619994085735493,9.29305171101553,-0.0006291321062044664,15.459397617812563,-0.0011682801615270043,14.781196523189216,-0.0012712465035555863
29.47959337020857,-0.001801668597689269,19.90188141418742,-0.0013001003485534311,16.82598009511296,-0.001200973429447947,25.74003422515886,-0.00214640223772394,22.317033561016252,-0.0019112666702213836
39.75295834323081,-0.0026093435653304145,26.40805503172853,-0.001804809943717258,27.446444413203317,-0.002144657045486168,32.25347947702402,-0.002821558941443557,29.173215177355125,-0.002620163757204603
49.68358695177931,-0.003383278149707958,36.001764583262606,-0.002681361831675829,35.67502581430181,-0.0030226050872349565,41.51899593273249,-0.004005264663250099,36.033759774288434,-0.0034313291093212954
56.53831424125338,-0.0040580858149800204,44.23034598436109,-0.0035593098734246174,45.62601499895769,-0.004273791575568706,49.42374721859981,-0.005292634803980335,43.248675350613915,-0.00454895021839085
59.965677885990424,-0.00439548964761605,50.40832650607661,-0.004371173302436419,52.16127515379501,-0.005460289604955686,54.24823420479826,-0.006378609760471613,50.12812619678976,-0.005803278052752589
,,59.87793349848017,-0.00633876120437581,56.98576213999345,-0.006546264561446965,59.78291747664587,-0.008111585652579783,56.1703695444563,-0.0074334621220559505
,,,,59.925926285018896,-0.007463712120844009,,,59.81054968707725,-0.008759284665091772
