SWEEP_25_0_X,SWEEP_25_0_Y,SWEEP_25_40_X,SWEEP_25_40_Y,SWEEP_25_50_X,SWEEP_25_50_Y,SWEEP_25_60_X,SWEEP_25_60_Y
1.0332871847348457,-0.5853006681514474,1.0197736712213317,-0.5853006681514474,1.0368988141816669,-0.6922048997772825,1.0068319990368986,-1.0022271714922049
1.1529224101607154,-0.5265033407572381,1.2615722626858465,-0.5425389755011134,1.2927526635767173,-0.6654788418708237,1.3848492144705897,-0.9915367483296214
1.3136399205441505,-0.483741648106904,1.5037320170950457,-0.5104677060133629,1.5623006079576225,-0.6440979955456569,1.7629567206404584,-0.983518930957684
1.5957984710768667,-0.43563474387527823,1.9348100884849204,-0.47037861915367474,1.926714019141638,-0.6307349665924269,2.1416962619635225,-0.9942093541202668
2.013092156744717,-0.38752783964365245,2.4478721483175816,-0.45701559020044524,2.3724793836152402,-0.6253897550111358,2.520164931078072,-0.9968819599109131
2.6064226810329254,-0.3501113585746102,2.8801239992776733,-0.4516703786191536,2.8860831878649247,-0.6280623608017819,3.0340396075362666,-1.0075723830734966
3.2815566122915776,-0.3340757238307349,3.717961837115512,-0.4516703786191537,3.534912417985913,-0.6334075723830733,3.76440137241919,-1.0262806236080182
3.9566905435502306,-0.31804008908685955,4.420754830554385,-0.4543429844097996,4.183561066634562,-0.6334075723830733,4.927105278998374,-1.0423162583518932
4.442906157828206,-0.3100222717149219,5.28561969541925,-0.4543429844097996,4.913471377836633,-0.638752783964365,5.873502678625172,-1.0556792873051222
4.902275326551495,-0.30734966592427604,6.285709986155419,-0.45701559020044524,5.481129236140372,-0.6414253897550108,7.035845422259676,-1.0610244988864144
5.658941792572081,-0.30467706013363016,7.231655932101376,-0.4570155902004456,6.0487870944441084,-0.6440979955456566,7.981701077469445,-1.0583518930957683
6.2534460964305065,-0.3020044543429843,7.961475952567268,-0.45968819599109134,6.859597905254919,-0.6440979955456569,,
6.955968217660866,-0.2966592427616924,,,7.981400108348879,-0.6494432071269486,,
7.496508758201406,-0.2966592427616924,,,,,,
7.955968217660866,-0.2966592427616924,,,,,,
