TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_0.2_X,TAPER_RATIO_0.2_Y,TAPER_RATIO_0.4_X,TAPER_RATIO_0.4_Y,TAPER_RATIO_0.6_X,TAPER_RATIO_0.6_Y,TAPER_RATIO_1_X,TAPER_RATIO_1_Y
3.5283775139735045,0.00018171755837094157,3.524368630926004,-0.00020324961231723594,3.5295192733717293,-0.0005476988258750564,3.53184536996012,-0.0007032565352237483,3.5335068675232577,-0.0008143691847585293
4.43493989855649,0.00034107237509817777,4.329031900753209,-0.000015105782011519842,4.289322108994238,-0.0003595134581302617,4.1578976517501065,-0.0005705028799291097,4.382864421798843,-0.000615155626938414
5.049957989820815,0.0004974518075105644,5.222585290208237,0.00022851129818342872,4.780959237926448,-0.00023774645547186644,5.095979175897204,-0.0003047048072662827,4.874667700487368,-0.0005044998892334966
5.4428065067409275,0.0005699249255528525,6.160334514842706,0.0005165319007532118,5.406346920691179,-0.0000605477403633147,5.63197828976517,-0.0001496455471865308,5.99169251218431,-0.0002055341714665487
5.975159906756311,0.000735180818294597,6.830416482055822,0.0007048003433761621,6.07626273814798,0.00013883196721311414,6.301561807709344,0.00007195669029685416,6.527857775808592,-0.00006158617634027504
6.543517495892866,0.0008809659613910614,7.8582188746123105,0.000970515341160833,6.701318121400082,0.00033825321222862156,6.8824213557820055,0.0002269744129375275,7.243298626495342,0.00009330693398316341
7.149134901430704,0.001045178442954733,8.842822330527241,0.0011251592268498004,7.370901639344256,0.0005598554497120074,7.6869184758528935,0.00042622950819672144,8.316792202038098,0.00030342406956136454
7.764781921851588,0.0011905401284627718,9.827924235711114,0.0012464693176783342,8.13053832521045,0.0007591520824102793,8.670358883473632,0.0006586522485600361,9.123283119184752,0.0003693439853788209
8.100588311152038,0.001229989301721068,10.50033229951262,0.0012791800509525924,8.667368187859985,0.0008586550177226405,9.117634027470087,0.0007471269937970762,9.750498449268932,0.0004243187859991138
8.593738734971163,0.001293168897349591,10.971366858661924,0.0012787439078422687,9.562583074878148,0.0009911594483828085,9.60993575542755,0.0008244489366415599,10.377879929109428,0.0004681823216659284
9.211839701384692,0.0013416803738870065,,,10.324047408063793,0.0010682321665928226,10.37123393885688,0.0009126329198050509,11.005593708462536,0.0004898233274257865
9.828447263877164,0.0013917639179171046,,,10.996289322108986,0.0011120541648205586,10.976351351351347,0.0009454059592379268,,
10.44590136305592,0.001385235321052066,,,,,,,,
10.98188678809287,0.0013983528788490732,,,,,,,,
