SWEEP_25_0_X,SWEEP_25_0_Y,SWEEP_25_40_X,SWEEP_25_40_Y,SWEEP_25_50_X,SWEEP_25_50_Y,SWEEP_25_60_X,SWEEP_25_60_Y
0.9956486423764224,0.5197454939274389,0.9892086330935257,1.2889688249400484,0.9926244488280354,2.130968612207009,0.9934512067765153,4.532216968360795
1.1303014040380601,0.6862211843428483,1.1346745184497573,1.4138769629457726,1.263844569505685,2.235231975709755,1.2037958343003021,4.407719791908408
1.2748970178695753,0.9150784211340612,1.3425823857043406,1.5804372630927515,1.5768377233696924,2.3499385975090883,1.5399817242979825,4.252182931074495
1.5237946739382693,1.1856361684845673,1.4986873404502212,1.6845676684458883,1.9109349617080529,2.4438795737603467,1.8547154212114183,4.158991355302854
1.8147264446507316,1.4354524444960162,1.831827280111396,1.8928526533611816,2.307735263402183,2.548287982517211,2.221687166395916,4.076255124932311
1.9810353330239039,1.5707796665893086,2.0402573102808077,1.997043494236868,2.704709619401254,2.6319065715169794,2.567728881411001,3.993494720352749
2.0851633209561395,1.6332699969057,2.3324074611278727,2.1013310319486345,3.059997969366444,2.6946869923416097,3.049467683917384,3.952471087646012
2.3771394174982596,1.7583473543745654,2.6871736481782325,2.2264809120445577,3.7290627175678814,2.778619846058637,3.656960721745186,3.8908026804362956
2.585569447667673,1.8625381952502518,3.104816952889302,2.3413084048889923,4.586497737294037,2.862770267656842,4.620351299605479,3.8191503249013694
2.8463245532606196,1.9667894716484882,3.5017042817359023,2.4353219037673086,5.5695999651891395,2.9366708246306175,5.373919412856813,3.8096256865475358
3.023533592480854,2.0501542314535466,4.003328788582038,2.5190613638121757,6.3017158853562325,2.9894914713390572,6.023011429566026,3.779190357391506
3.3159448247853343,2.123257039529667,4.421233174750523,2.602704127020963,6.8875826757948495,3.0109581689487106,6.650999361800883,3.7695206737835534
3.6501290902761676,2.2068031059023756,4.964891796240428,2.665702115726773,7.3060962520306365,3.021836563007657,7.236953179391971,3.780592461514658
3.942714376885589,2.259116094221397,5.404074321188213,2.7077894136303855,7.871381120909726,3.001699446894097,7.864767057321888,3.7917125976638033
4.339601705732189,2.3531295930997125,6.282613425388723,2.7711741896805133,8.520212056161522,3.0024488473737136,8.388017811557209,3.7923169528893004
4.590413959155256,2.3949993231221467,7.161326583894176,2.8137691459735428,9.210903051752148,3.0032465962713695,9.162428927825484,3.7932113986230362
4.924859306103505,2.447360659859209,7.99844076351822,2.825131024212887,9.629590682292879,2.9933351705732183,9.978613077280112,3.80454910265336
5.489534984915295,2.4999879128954903,8.8983450336505,2.8365654250792907,9.96438413785101,3.004116867796085,,
5.91807844047343,2.5628529434516896,9.610140113715481,2.8165975284288693,,,,
6.221476850777442,2.573598379361027,9.986706602459968,2.837822483948324,,,,
6.514323218844281,2.5947266380444027,,,,,,
6.890889707588768,2.6159515935638575,,,,,,
7.3721063471803205,2.6372974201284123,,,,,,
8.04169325829659,2.6588608145741466,,,,,,
8.9208415525644,2.6494812214744328,,,,,,
9.318599152935718,2.6395456215672617,,,,,,
9.988186064051986,2.6611090160129955,,,,,,
