SWEEP_25_10_X,SWEEP_25_10_Y,SWEEP_25_40_X,SWEEP_25_40_Y,SWEEP_25_50_X,SWEEP_25_50_Y,SWEEP_25_60_X,SWEEP_25_60_Y,SWEEP_25_70_X,SWEEP_25_70_Y
1.007198275442473,-0.041277598298107065,1.0403140264706572,-0.09961888046110684,1.0034125394585462,-0.16526338492687226,0.9946257060732862,-0.31555272896522985,2.04605403256228,-0.40125860565799104
1.4564373650595108,-0.029639484635563096,1.3903521964554182,-0.08004089842842793,1.1980842839005295,-0.14640753735946116,1.0626738239459907,-0.2974041722508054,2.1618843908994663,-0.3802044055633968
1.93819479440989,-0.02244925621522864,1.6801396003146971,-0.066194773115758,1.3838353484603632,-0.1291924141955746,1.1599160003581819,-0.27829830769374253,2.2489494368647858,-0.366916549481007
2.484889808250423,-0.018384743279842797,2.106038669445123,-0.05157247101266721,1.5557811593959983,-0.11567223127213755,1.2576132328482883,-0.2606748389879959,2.3486671948826983,-0.35007946926455646
3.0339351659243308,-0.014542132803247676,2.6650354698923486,-0.04173741285846838,1.8899909115962235,-0.09584271219891849,1.3119689859065318,-0.24864066444934452,2.522127472214419,-0.32983769893463477
3.584950874797485,-0.013787413674797577,3.2061029021455436,-0.03524557595668859,2.2277613572559805,-0.08206363469467876,1.4489120219263674,-0.23067737373965974,2.775502673316373,-0.2995948573926638
4.128872244456238,-0.012693623575062152,3.765884060595859,-0.031200401060128224,2.7400727036431487,-0.06809761327678987,1.555440500169472,-0.21695950757859117,2.6285005856375285,-0.3172916287714826
4.684718074993562,-0.011406489392533303,4.316036941372266,-0.02797896420257584,3.2542336516017913,-0.058130203732988384,1.6919614914709653,-0.199253665150468,3.012990850925884,-0.2802011185060481
5.223841129670303,-0.010605221281896171,4.872046054771376,-0.0254603143913828,3.824090655802509,-0.04988563290495712,1.9005881558127786,-0.18044585590440615,3.1559519412649797,-0.26819612227670725
5.784501425141542,-0.008903758584131005,5.416149001331323,-0.022997030952405906,4.366102689041179,-0.04524376443373085,2.0461442768385787,-0.16852668122059133,3.393269830308082,-0.25008673759983996
6.334343396924632,-0.008027266445064296,5.966180818611631,-0.02068868188543782,4.92127573059904,-0.040056595268607054,2.313004418189869,-0.15008169716901537,3.751362799954581,-0.230466565507042
6.884187443499625,-0.007135125764401229,6.526542060752124,-0.019447874069571935,5.466670143403746,-0.036827145393524996,2.692404960916301,-0.13146447560054508,3.9636229874355493,-0.21801460105656723
7.474203001347247,-0.007008054579841494,7.063720505508332,-0.01715943996129954,6.016870349001357,-0.03324877421783523,3.0476183736853324,-0.11775059556718143,4.31523019787628,-0.20243967130165666
7.958967371436287,-0.006450074826120256,7.615912223959739,-0.016509354232583096,6.566883089609554,-0.03108430565120157,3.3968426842146417,-0.10676867079051544,4.646480602892254,-0.19014016544781617
8.533334955937454,-0.007359648194861013,8.165761100845943,-0.01558078227138654,7.116914906889862,-0.028775956584233542,3.8359004446853806,-0.09542896536819145,4.990651562671397,-0.1777437962153962
9.079513939683022,-0.0071871489090676866,8.694963475394237,-0.01450227371018975,7.666866993463648,-0.027068954223791408,4.286571207379861,-0.08568616338427254,5.344968373649461,-0.1649853479744781
9.63281678868454,-0.007131028627856417,9.265436822692534,-0.01388980802940143,8.207284550144028,-0.025478623308967052,4.806770513112914,-0.0780393655118421,5.817720922374381,-0.15322672321535785
9.991499828261034,-0.006821101757056136,9.9913604531978,-0.013598795182608758,8.777392287239508,-0.024317328244568504,5.302332111237494,-0.07090299289283353,6.284640681415363,-0.14389484233618788
,,,,9.316602311975265,-0.022860112622150264,5.83772187147958,-0.0651956332290976,6.815153045373847,-0.13293610253457988
,,,,10.012776159557843,-0.022447149139726896,6.379809049686285,-0.059987004710079284,7.296146274182453,-0.12483640313401789
,,,,,,6.933760022508515,-0.055042590545549,7.820222770854993,-0.11786149951251768
,,,,,,7.480397292730002,-0.05141359281694491,8.362545289160934,-0.1108778836672577
,,,,,,8.030568761033084,-0.04805196470265655,8.917874673829667,-0.10451154001702095
,,,,,,8.580644479116522,-0.04541250602273911,9.463687489414077,-0.09812640339902601
,,,,,,9.12478685079884,-0.042651869549737764,10.011934659560964,-0.09325261857488731
,,,,,,9.680698086195644,-0.04087143738256849,,
,,,,,,10.000212073896442,-0.039743887752730855,,
