TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_0.2_X,TAPER_RATIO_0.2_Y,TAPER_RATIO_0.4_X,TAPER_RATIO_0.4_Y,TAPER_RATIO_0.6_X,TAPER_RATIO_0.6_Y,TAPER_RATIO_0.8_X,TAPER_RATIO_0.8_Y,TAPER_RATIO_1_X,TAPER_RATIO_1_Y
2.2220834574868924,0.000002402478218043163,2.021641553567825,-0.0005423939815360159,2.311771441270242,-0.0007031885266273079,2.3383012566356474,-0.0008092422849921828,2.1511012929119335,-0.0008987965385921718,2.339132753676518,-0.0008992843382944457
2.0058919726046973,-0.00003406111106962046,2.9237978855164766,-0.0003291140550720261,1.986266788355211,-0.0007881658378775908,2.0015806351494554,-0.0008770563265096853,2.6715901744446473,-0.0007987718440068628,2.972086179925011,-0.0007919127604350713
2.517191786857641,0.00005166859717675373,3.605455830320409,-0.0001835031192031686,2.7494872095115284,-0.0005875241041726255,2.852701365204952,-0.0006918390488036938,3.0984932356889026,-0.0007165919563720624,3.4790613919484557,-0.0007017345568296084
2.8623454513232325,0.00010532267259251806,4.440150787856215,-0.00001997329808720613,3.25019760524796,-0.00047303981743287667,3.308857394845864,-0.0005914132604462042,3.476702219425121,-0.0006428192053966517,3.926355757722833,-0.0006380136880038632
3.265346673309887,0.00016177375811756572,5.183801060140107,0.00010712461531853148,4.059956438005047,-0.00029519102889383566,3.784668198694215,-0.0004926280347097607,3.79696986137402,-0.0005872192274509844,4.379673965494524,-0.0005775399389492278
3.5949747243829258,0.00020704826222631015,5.872272955024643,0.00020467143547256992,3.710240665737844,-0.0003766772442155178,4.331661520121182,-0.0003892242405728612,4.234898486027626,-0.0005066175593615356,5.047891130190429,-0.0004938725453939455
3.975961452251374,0.00025288929294380014,6.6565400355912665,0.00031476275038262117,4.601592085788775,-0.00019239268792875899,4.883119246564979,-0.0002861224561664938,4.708311022191241,-0.00042962672104795,5.779961126916033,-0.00041375228820287387
4.363692575718252,0.00029978320820907875,7.585756362016497,0.0004357267917982123,5.147053860092839,-0.00009217079850818929,5.479886468385832,-0.0001874140362054282,5.127271271639749,-0.0003604617297289011,6.422981925652586,-0.0003510337147002668
4.845779667062747,0.00035094428157478254,8.3791152319074,0.0005333489310229052,5.693677547141302,-0.0000010352112226243854,5.9793780203807465,-0.00010686368892267261,5.650033867175614,-0.0002883212923749874,7.064537207825506,-0.00028672293087364954
5.31479944211566,0.0004014449567915433,9.30680484089993,0.0006438798805491995,6.303101166913402,0.00009296644510552198,6.310625641387569,-0.000051218399129988835,6.227344779223577,-0.00021194056007374637,7.7092450064031794,-0.0002222152563253893
5.736848459385145,0.0004438955096035318,10.276470488088572,0.0007453681340192342,7.012962212790908,0.00019351650061384218,6.668062894211264,0.000006422817238394864,6.703268369661561,-0.00015130926673859537,8.35146794791728,-0.00017167730308553623
5.958602424725974,0.00046814109231373157,10.987941518876047,0.000820568619162621,6.575546328284876,0.00013275239943754628,7.263891708577736,0.00009655606591709646,7.176114819413069,-0.0000926913178884405,9.080997970118924,-0.00010636822709810196
6.445458511122636,0.0005193556137754205,,,7.543207302631407,0.0002700466030394477,7.821050773885267,0.00016656915148555921,7.638370215979775,-0.000038331208001880866,9.809548685055267,-0.00005600990869432886
6.810047267031344,0.0005493193225028622,,,8.020627088975361,0.0003311517748900287,8.211872585692271,0.00022441362391224123,8.244024859257792,0.0000333886427614726,10.539012747421554,0.000008292180473347443
7.290841459534608,0.0005958633955752723,,,8.579052020804076,0.00040291552967191635,8.889869954470305,0.0003149737392302227,8.926946748140844,0.00010611977928142455,11.267543411606175,0.0000583443907341732
7.7204433561062675,0.0006341670431978701,,,9.216628600215847,0.0004879683795427556,9.56314791630958,0.0004002460108514655,9.635195970233669,0.00018206265834362807,12.006839326012214,0.00010898003920696542
7.956806868553722,0.00065737182585858,,,9.77509495443836,0.0005536049419687108,10.241894328997924,0.0004811288337184811,10.312691575124889,0.00024384981550794457,,
8.556247400894671,0.0007089415722044885,,,10.320332516897201,0.000624124921715025,11.054914890530787,0.0005876792590450179,11.00799879195844,0.00031393751984201603,,
8.929318002400418,0.0007414650075301379,,,10.99869376693123,0.0006991275947261322,10.646358761891479,0.0005335559329072237,11.422051156602686,0.000363675131952731,,
9.241907718471387,0.0007684468935174132,,,11.974898183815087,0.0008213452683306008,11.425898574144378,0.000630536106102202,11.982959271120562,0.0004194468645322743,,
9.832245219444447,0.0008177373066133812,,,,,11.9807379436242,0.0006954280276425841,,,,
10.301041222545551,0.0008568579515793558,,,,,,,,,,
10.843215935120805,0.0008958274651307777,,,,,,,,,,
