SWEEP_50_0_X,SWEEP_50_0_Y,SWEEP_50_40_X,SWEEP_50_40_Y,SWEEP_50_60_X,SWEEP_50_60_Y
0.017240532442655,-0.0000017181590451230454,8.881784197001252e-16,-0.0000017152119455601756,0.051230414067489516,-0.000003433370990700026
0.5435925143671101,-0.000030013261948016296,0.8667419814332726,-0.000045453116557771125,0.5605874551795287,-0.00003087086792080446
1.1726509160567806,-0.00006089002406796319,1.4288029863942242,-0.0000694808192936619,1.1908738150203844,-0.00005747433567462358
2.007122157276881,-0.00009693010462201782,2.2982464757601067,-0.00010381747630039103,1.7371678373201052,-0.00007637113807159798
2.723365587700772,-0.0001244029667468767,2.913502627830445,-0.00012272606709561658,2.6263077754310142,-0.00010216415344563399
3.6799941058008745,-0.00015533572375851768,3.768898275946757,-0.00014594921165085053,3.328503364605335,-0.00011852350311899725
4.484404931479941,-0.00017598605039538583,4.659757355469327,-0.0001657596149123073,4.3582690701900875,-0.00013493884768405427
5.306547472862126,-0.00019493000638536582,5.414165725232086,-0.0001804184881379077,5.216857409499485,-0.00014705142688735537
6.163907854020336,-0.00021131587995479447,6.135075396630483,-0.0001916528316714801,6.007465985559214,-0.0001557335821995024
7.089984773318926,-0.0002285682007957004,7.027899209194952,-0.00020462596394713213,7.04042438233705,-0.00016103836141262635
7.914092047743014,-0.0002406748857998753,7.955695269905205,-0.0002158956726754587,7.986934525271388,-0.00016718306400116234
