X,Y
0.08642084778908754, 0.7535720845731282
0.23657921124140924, 0.7533094704593919
0.386689527355797, 0.7542153676042154
0.5315294046880875, 0.7556204063825481
0.6870459128863801, 0.7527256415938869
0.8370638757905854, 0.7558775688103446
0.9902236685055575, 0.7537550414909004
1.1374779991462627, 0.7529836588937232
1.2875281878133116, 0.7553518555578315
1.4434070687159206, 0.754284014062443
1.5878870722060134, 0.7538013572207742
1.7380391771238846, 0.7536909506648742
1.8881827203666277, 0.7537887640480943
2.032892981437213, 0.7583460703110875
2.1874015774337945, 0.7799637302680528
2.3366592763312597, 0.801605278128429
2.488059734323376, 0.8264620276106178
2.595753674498229, 0.8492145614367032
2.729747146969692, 0.8686241520522188
2.8788802213775173, 0.8932965675006359
3.0239623262261577, 0.9143462189907575
3.178299424373682, 0.9447775404384735
3.326123072272959, 0.9711167888636795
3.4754630424505644, 0.9907574991910446
3.625525748186514, 0.9928212807394804
3.7756692914292573, 0.9929190941227004
3.9258027299836513, 0.9932626535265725
4.075845226342902, 0.9958179271163121
4.226099921157486, 0.9932125342723606
4.376243464400229, 0.9933103476555806
4.52410284284164, 0.9936319462034403
4.6765305508857145, 0.9935059744220206
4.826674094128458, 0.9936037878052406
4.97682774205955, 0.9934558551678088
5.126961180613944, 0.9937994145716806
5.277104723856687, 0.9938972279549008
5.427268476476128, 0.9935035492968167
5.577357454401785, 0.9949283911915575
5.727535353584916, 0.9941906681045608
5.877759734334452, 0.992322513322565
5.974296739749157, 0.9938509528518564
