ASPECT_RATIO_1_X,ASPECT_RATIO_1_Y,ASPECT_RATIO_2_X,ASPECT_RATIO_2_Y,ASPECT_RATIO_4_X,ASPECT_RATIO_4_Y,ASPECT_RATIO_6_X,ASPECT_RATIO_6_Y,ASPECT_RATIO_8_X,ASPECT_RATIO_8_Y
-19.960551115526734,0.0010427070701166715,-19.962012185322045,0.0010768961033267854,-19.634732551173904,0.0014185526642606673,-19.986850371842202,0.0016581096678987065,-19.82321055476814,0.0018289379483656452
-13.108133775550407,0.0006961413146705673,-9.681925105562236,0.0005228584369475165,-12.433119530119889,0.000900807971596751,-13.122744473503445,0.0010380316467716979,-13.130049822479968,0.0012089768128222622
-5.569013631781132,0.00028072995046974063,-1.4575632277953403,0.00007279049720207865,-3.516210569378842,0.0002451382902561366,-5.232967578861185,0.00041725231214294507,-5.580702190143562,0.0005542422161506459
5.3919319725903705,-0.00020539719182379856,7.452040383969191,-0.0004119340180879696,8.825445991555071,-0.0005496252355974155,5.400698391362198,-0.00041053139108447687,6.430752597051608,-0.0005137998042165611
14.98531624855724,-0.0006905892494483441,13.625060269129108,-0.0008605993308299156,13.629443478515014,-0.0009631664304602548,13.636748827491544,-0.0011341115965108192,18.443668454042097,-0.0016160308577938794
25.26832546790766,-0.00131300498224784,20.48186081849134,-0.001309732185906358,21.866954984439644,-0.0017209356690967093,23.5895562731032,-0.002029805823823969,32.186490948672656,-0.0031980772321490263
36.92474029484393,-0.002073111932556781,27.343044577239496,-0.0018614321406131406,30.79263036395254,-0.0025817395496980002,31.835834197799656,-0.002992709261721101,42.507487982700965,-0.0047094078284114615
45.150563242406136,-0.002557368905512329,36.953961690750006,-0.002756892596759042,40.41085282643955,-0.003648145171894466,41.11508846777613,-0.004127259179170546,48.02448752976932,-0.005807197229811056
52.011747001154276,-0.0031090688602191125,42.44904519088881,-0.003341846500006943,46.60286661893842,-0.004541267916367881,46.97105620735505,-0.005156904285317161,53.90821559545901,-0.007486433966949821
59.905907105182436,-0.0038324152944782044,48.98002717589823,-0.00416682494922738,52.803646830209104,-0.005639524860101974,52.152009701503445,-0.006391216048389962,59.48219686454422,-0.009917595663543824
,,54.141986762707674,-0.0049566792805687074,56.95600718846342,-0.0068047572432528,56.30729219934838,-0.007624826497961014,,
,,59.48804114372547,-0.00605435179638468,59.89421854682,-0.007558903028796899,59.43544263109449,-0.008823546600820206,,
