SWEEP_25_0_X,SWEEP_25_0_Y,SWEEP_25_40_X,SWEEP_25_40_Y,SWEEP_25_50_X,SWEEP_25_50_Y,SWEEP_25_60_X,SWEEP_25_60_Y
1.0221019642141318,-0.7906636055537319,1.0352513878260021,-0.7825808097372531,1.0368305333867838,-0.8176378411865439,1.035221019642143,-1.0819066360555358
1.0596066712826309,-0.7232681024743983,1.0866343549190383,-0.7232826792026517,1.1566330187189484,-0.7772530155606558,1.2228356595362184,-1.0469516417040183
1.217399754625073,-0.6262745526766502,1.2854548546578695,-0.6370977734047583,1.3166126112993952,-0.7287999708465422,1.4105717721657385,-1.0146933420793687
1.3100530835853883,-0.5831784555956405,1.3788370200308524,-0.6101818446849592,1.5441614129708583,-0.6803833679530622,1.6255785139025551,-0.9878430086367103
1.4833035725131518,-0.5293393097919159,1.5793581380659116,-0.5617506650632254,1.7860743656086377,-0.6508509165117875,1.8952479865894087,-0.9745053022849008
1.6707967396717835,-0.49168762071352967,1.8476914106628772,-0.5187493167158626,2.0690147346428107,-0.632127109070368,2.1113479829452277,-0.9719252213840597
2.2755183848985094,-0.4165081447469112,2.036156359705065,-0.502671185452424,2.474065570982593,-0.6242556758135627,2.3549615538792326,-0.9801464961189454
2.652691228453774,-0.3897452716737724,2.5481032032360345,-0.4678911118399469,2.9336576655369715,-0.6272001749207385,3.112101113904984,-0.988644728690645
3.2191793301993368,-0.36578113042527605,3.034480035955931,-0.46545679822163866,3.663405123719981,-0.627593746583579,4.0587988775919275,-1.0053350825407241
3.812938061052199,-0.3472249553587692,3.7368353922962,-0.4577457089756205,4.339218687365623,-0.6306548595167811,4.843087593989528,-1.0165445865675453
4.4340888937477985,-0.33677344120112274,4.277389065024357,-0.4580372435406872,5.204468981937005,-0.6392113990014945,5.789663884941026,-1.0305382456907561
5.244433511898254,-0.32642396414124875,4.845091894124364,-0.4610400495608764,5.8533763346816805,-0.6449546299333124,6.95234017224834,-1.0419518239131245
5.947031813709414,-0.3241062643489676,5.791303766869527,-0.46694362450348104,6.448106847418099,-0.647972012681755,7.547192157720202,-1.0476659013884353
6.649387170049682,-0.31639517510294946,6.575471010531686,-0.4754564338034344,7.0968927274273295,-0.6510185488867046,7.993513355927263,-1.0559965015852213
7.352106944596285,-0.3167741700375366,7.197229206904511,-0.47848839328013026,7.475644716543371,-0.6593127072628562,,
7.973743668233665,-0.31710943478736375,7.994788819649429,-0.4843117962173418,7.975778336552363,-0.6622790714624123,,
