BETA_A_K_1.5_X,BETA_A_K_1.5_Y,BETA_A_K_3_X,BETA_A_K_3_Y,BETA_A_K_4.5_X,BETA_A_K_4.5_Y,BETA_A_K_6_X,BETA_A_K_6_Y,BETA_A_K_8_X,BETA_A_K_8_Y,BETA_A_K_10_X,BETA_A_K_10_Y
-19.915758193664523,-0.13015230530798905,-18.742425225740906,-0.20212941471339885,-19.94886801411775,-0.2554532134730116,-19.99230385646753,-0.2901770990084931,-19.958257599353093,-0.3258575764644277,-20.015666679075096,-0.3456928609157674
-16.4739222921827,-0.13059082547382672,-19.946448476924587,-0.20074118202945024,-16.349913618404656,-0.2605519155932237,-16.53270266243495,-0.29504404332104195,-16.498311602021758,-0.33108587463407335,-16.476074578922656,-0.3543902748419283
-14.101101147746405,-0.130701880255907,-16.61861112963453,-0.2050119696958741,-13.974467951771999,-0.2634134696370902,-14.156219238301183,-0.29899316722607383,-14.122303537775593,-0.334536821376894,-14.09919836915406,-0.35875103809226166
-11.728420602713491,-0.13066558686324875,-14.244019102236656,-0.2069789098216851,-11.59920975101052,-0.26607855944797193,-11.780345078248715,-0.3023037823739053,-11.746389206465018,-0.33788953600322236,-11.722393574955433,-0.3630369578252674
-9.471512233003025,-0.13102200150965637,-11.869313256274154,-0.20906513180323688,-9.295535727915265,-0.2690751130218347,-9.458977401346324,-0.30500536464834654,-9.4241991346397,-0.34145298815688824,-9.400118697140783,-0.36668928665575984
-6.983059512647657,-0.1305930000779323,-9.578102872439295,-0.21059235788715297,-6.849115147697674,-0.27096669454551986,-7.030472532723742,-0.3069592009097628,-6.995732205538673,-0.34336706379972437,-6.969955648252984,-0.37038089583512435
-4.610378967614736,-0.13055670668527403,-4.746919734880414,-0.2135170284624076,-4.474419344549695,-0.2730423916574474,-4.656514318509345,-0.30826190481929233,-4.620349027529734,-0.3461631297659293,-4.594416248684745,-0.3733406819954832
-2.237698422581822,-0.13052041329261577,-2.3729269287493224,-0.2148559847006425,-2.099957873740678,-0.27487250847814404,-2.282052847700335,-0.310092021639989,-2.245684468693618,-0.3482060828390261,-2.219439246730012,-0.37571107545688787
0.11741495851286032,-0.1309116525819788,0.0006948511784230504,-0.21580610547776174,0.2246292290729599,-0.2766008366869639,0.07507740331914903,-0.31114786980367526,0.11222068131683471,-0.35007402514525277,0.13947939779944818,-0.37864116001903414
2.507662667484013,-0.1304478265072993,2.374636885302742,-0.2170918526528965,2.6476059403113865,-0.27710837643039815,2.465839031626281,-0.3126717019999663,2.503020878609668,-0.35163827763856204,2.5292024960812753,-0.3790766127488041
4.880958725460609,-0.1310565906796075,4.650368562366182,-0.21820543920620156,5.021415520870789,-0.2782553122694895,4.839487034458621,-0.3136493043811043,4.876446823654142,-0.35238316345800974,4.903155130954268,-0.3803734695085421
7.254148552776861,-0.13155402511989112,6.6417063298327434,-0.2181141677272624,7.394326157943198,-0.27846015533422086,7.2134497121461365,-0.31495668601046656,7.24939629294272,-0.352628702685288,7.27605103856537,-0.3805628760978246
9.626126100792902,-0.13078099085354017,8.847739683820052,-0.21925220935224382,9.767241035315081,-0.27866944223279355,9.586552055389184,-0.31536243714202394,9.623098973320822,-0.3536636071343797,9.648377853353288,-0.3801558734084035
11.999415909907114,-0.13138320621808225,11.220935759998682,-0.2197561926002936,12.14015591268695,-0.2788787291313662,11.959513799228851,-0.3156208400988427,11.995888873445253,-0.3537419178776292,12.020533940294243,-0.37956994793537147
14.372096454940035,-0.13134691282542404,13.59436616851628,-0.2205057561395743,14.512414659509744,-0.27840039121449234,14.331960011922817,-0.3153389664149536,14.367156729234722,-0.3522251261578362,14.392464621842485,-0.3787477976107744
16.744776999972956,-0.13131061943276578,15.967046713549195,-0.22046946274691603,16.8849077386715,-0.2781676335888494,16.70421875874561,-0.3148606284980797,16.73880621197621,-0.3511082794837619,16.763926638712817,-0.3774344867037154
19.266877961532998,-0.13136727541870752,18.340008457388862,-0.22072786570373482,19.256979019623103,-0.27749283143899073,19.165711260244663,-0.3137096630354528,19.11083062646003,-0.3503843612756571,19.225125666854026,-0.3759759611620706
21.490138090038784,-0.13123803264744927,20.658966556222467,-0.22090421016209633,21.628581635896808,-0.27632686870667034,21.44747085776079,-0.312577819091685,21.48205831099139,-0.3488254700773672,21.505491544887477,-0.3733834992004581
23.862818635071704,-0.13120173925479106,23.085182081583525,-0.2204588146854336,24.000137385702715,-0.27511178991610374,23.81860480935657,-0.31092069577690284,23.853285995522768,-0.34726657887907736,23.875500701256243,-0.37054759048776753
26.235499180104625,-0.1311654458621328,25.457768893680864,-0.22032428917628305,26.371365070234077,-0.27355289871781385,26.189270096274427,-0.30877241187965876,26.223154552488154,-0.3442833219916482,26.245134925882667,-0.36731875330910746
28.608179725137532,-0.13112915246947454,27.829933907568076,-0.2197477191429168,28.74254588829764,-0.27194489146127776,28.559607317917724,-0.30628031557469143,28.592179513033273,-0.3404159760557878,28.61425361936338,-0.3635496394897394
30.909866498411574,-0.13204306823070333,30.20235668702813,-0.21944128742990449,31.041795493659663,-0.2703046552507093,30.930169572997656,-0.30402405431130297,30.961063874175025,-0.3364012819451888,30.982981758945826,-0.3593712251849865
33.353540815203374,-0.13105656568415802,32.5735140718578,-0.21780872214424535,33.48382959566557,-0.26759920760854344,33.298782034235,-0.29972440910087894,33.32887030655756,-0.33125691849492767,33.350616347613126,-0.354046769521156
