BETA_A_K_1.5_X,BETA_A_K_1.5_Y,BETA_A_K_3_X,BETA_A_K_3_Y,BETA_A_K_4.5_X,BETA_A_K_4.5_Y,BETA_A_K_6_X,BETA_A_K_6_Y,BETA_A_K_8_X,BETA_A_K_8_Y,BETA_A_K_10_X,BETA_A_K_10_Y
-20.007778737390577,-0.14507632646253954,-20.08265266529846,-0.2603875936737673,-20.13497447595402,-0.34025211830658697,-20.094128088556673,-0.4054033190252636,-20.098223848466823,-0.46867798400877647,-20.08054182192143,-0.5204014001765367
-14.337704952330654,-0.14514179838142882,-15.18505038389982,-0.2605041552896156,-14.369950264603425,-0.3450713039798029,-14.669675364165528,-0.41087880195166215,-15.188425543270988,-0.47490998041436117,-15.083905945627258,-0.5273190929471477
-10.889998074117798,-0.14513472129555915,-11.736171264819383,-0.26108487326734575,-10.920565190192498,-0.34590572241610307,-11.216849098434182,-0.4134387320357765,-11.638204741875548,-0.47863758695501885,-11.628537449849553,-0.5311537698116452
-7.441994863051953,-0.1452762339688246,-8.288429459180726,-0.2610953097906939,-7.467174467140531,-0.3487486875281245,-7.765427749307392,-0.41529419679388974,-8.280585848296091,-0.48112654685798906,-8.175510481746123,-0.533814337799474
-3.9944537597853795,-0.1451860325884584,-4.8400186456351335,-0.26144120599309023,-4.018161546478709,-0.3493964974416642,-4.315344415994467,-0.41647874219390657,-4.831063496938036,-0.48202979987778233,-4.723955331037949,-0.5357368944933969
-0.5464185753546289,-0.14534357762041072,-1.2723024839370183,-0.26158292735379435,-0.5440662354313659,-0.3506158775083048,-0.8329017477471723,-0.41799960720695906,-1.3246907378421398,-0.48283823577881924,-1.216990993139703,-0.5368419649081834
2.902218716192344,-0.14580303636350667,2.056200874339801,-0.2618310846867396,2.8793959893100975,-0.3504572954934099,2.5812765087246277,-0.4170698966949848,2.0668954435949303,-0.4832918737369569,2.1720099659323537,-0.5359992985090078
6.3498009446202985,-0.1457334563140602,5.155896652348169,-0.26192778530770877,6.327606100483614,-0.3507025537920918,6.026877489061093,-0.4160068622453788,5.512331633672076,-0.4821462087430313,5.616387154142615,-0.5343226197218321
9.797408948677571,-0.14567680090159862,8.952052439965925,-0.2620364605569124,9.773742287145623,-0.3499078870857243,9.471876362281321,-0.4146419140846294,8.957160793198156,-0.4806961612870775,9.10263065954993,-0.531393502892084
13.244188367617205,-0.14520466923729436,12.399493192046464,-0.26189594022468893,13.220413680133184,-0.3493815881225954,12.915737922059769,-0.4127066844694981,12.40042024586036,-0.4784590179608028,12.499500316877239,-0.5281405964278391
16.692311015419328,-0.14540607090261148,15.845830081080557,-0.2612019114220359,16.66447072923507,-0.3475443824396534,16.358328366815037,-0.41013408146417524,15.842007178755225,-0.47538322543690764,15.938478118935066,-0.523756511155656
20.140496726629145,-0.14563909436234979,19.292166970114643,-0.26050788261938285,20.109068197711146,-0.3459781584714751,19.806008331386657,-0.4069355940145315,19.2822828561525,-0.47164993194207805,19.375429782760456,-0.5183564622840698
23.58705871799902,-0.14505793830235492,22.738637660730127,-0.2598809457525395,23.55226074958265,-0.3437074691772956,23.24057083458367,-0.4035154668372425,22.72036418761504,-0.4668163306999704,22.809208437655833,-0.5113653760775695
27.03359630940519,-0.1444645474034163,26.183971037903824,-0.2586837274313142,26.995057109758626,-0.3412381180472123,26.676237771536712,-0.39747121920537176,26.156561407458803,-0.4610379820604533,26.240990205313828,-0.5033729935563342
30.482721484380754,-0.14516864483712888,29.648333814315528,-0.2574946482998571,30.436309538700023,-0.3379945956837931,30.10713913024076,-0.3922152895751708,29.60853926372311,-0.4536387501122344,29.667737036841082,-0.492855950203821
33.92948653847528,-0.14468931022906661,33.07205096167774,-0.25499218002987734,33.87548804312993,-0.3337111483153245,33.547999115430066,-0.3855970696066841,33.02037169374308,-0.44517694500350213,32.10909974741242,-0.4852650756451089
37.37585933962213,-0.14401328878580832,36.51661078035817,-0.25340707737846263,37.31185671435072,-0.32801877029485355,36.980621342372025,-0.3780261173835433,36.44483202422044,-0.43351338469597345,34.91146462722762,-0.4750075105963737
40.82257533313682,-0.1435093538012826,39.95874728442369,-0.25060685554156387,40.70230951768662,-0.32154826990064567,40.410968942430394,-0.36931460225163865,39.65371889257214,-0.42180424447014875,37.90487635065961,-0.4633020895083826
44.26848677948032,-0.14260199587805744,43.40020140042413,-0.247464464832036,44.178238481676395,-0.3134471473029538,43.532192494478856,-0.3593616569331161,42.43258659285848,-0.41056943358098447,40.739922678871245,-0.45142375090241194
47.71420099881748,-0.14159574269880104,46.839959711706705,-0.24347174918540915,47.61031015276074,-0.30560013064263963,46.497855828417094,-0.34925714500610117,45.42425615108461,-0.39799044108263093,43.279941002455836,-0.43927706282369694
51.15996676941328,-0.14061533879351484,50.277421095842136,-0.2383272886407169,51.03672595570027,-0.2949171000982855,49.37611464049936,-0.3390992518583459,47.90482336215265,-0.38574677272406127,45.1634803443276,-0.42930367068726333
54.60456423788934,-0.13904911482533655,53.714124271016395,-0.23280264045977,54.35388952376284,-0.28347643411083545,51.75158639027445,-0.32922120687775286,49.26432713076314,-0.37862770840796967,47.50978317113648,-0.41726669970669317
58.048091293714315,-0.1369461553706811,57.148218315353596,-0.2259696995305352,57.78646042504007,-0.27019295029962914,54.20711880416017,-0.31793051508620873,51.501536230562444,-0.365912582357811,49.74900061886006,-0.40555861668712967
61.490347234516115,-0.13420582252583424,60.57830786950503,-0.2171287928081405,60.103499867409845,-0.25997418902125075,56.55351894121005,-0.30594233824077277,54.116254980466685,-0.35040426844553835,51.77204857150874,-0.3935060857990222
