RATIO_FUSELAGE_SPAN_4_X,RATIO_FUSELAGE_SPAN_4_Y,RATIO_FUSELAGE_SPAN_4.5_X,RATIO_FUSELAGE_SPAN_4.5_Y,RATIO_FUSELAGE_SPAN_5.5_X,RATIO_FUSELAGE_SPAN_5.5_Y,RATIO_FUSELAGE_SPAN_6_X,RATIO_FUSELAGE_SPAN_6_Y,RATIO_FUSELAGE_SPAN_7_X,RATIO_FUSELAGE_SPAN_7_Y,RATIO_FUSELAGE_SPAN_8_X,RATIO_FUSELAGE_SPAN_8_Y
1.2802707669277906,0.9978629989471897,1.0279283296120867,0.9991567126774692,0.5457542106248671,0.9988836767289929,0.38586516436965557,0.9979611664587387,0.19833121604206985,0.9986468742182073,0.05170902764528959,0.9991223955653501
1.3672151189091961,0.9945755218127228,1.1050415981975217,0.99050553292551,0.5973336227003034,0.9933908146228317,0.4445354586806096,0.9913388035148181,0.24492759575683773,0.9945650154883308,0.12071831441147116,0.9932157807866197
1.4148874229174007,0.989322115545531,1.1586997375925752,0.9842431499706594,0.6519021868682245,0.9865952870180283,0.49331629785850073,0.9859164610450843,0.29405915815022443,0.992752171619718,0.16950144912641227,0.9886657423959049
1.4647786285322255,0.9844267184272386,1.206268751331226,0.9780496504259907,0.6973535652248579,0.9802147345204775,0.5420935331575976,0.9791246446335231,0.34186290305354217,0.9865063570612083,0.2201853417322139,0.9839826156464175
1.513559317796858,0.9789474089193335,1.2590263353667388,0.9705370923076259,0.7433072928894972,0.9731758732999775,0.5908674233886192,0.9710617023534089,0.3852273327728335,0.9806539405437501,0.27023027021969515,0.9773001528970595
1.562339460310889,0.9732603341826669,1.3094642953154179,0.9627021917123086,0.7961678096971404,0.9637311159273176,0.6288053551567995,0.965810373097669,0.43561672955073627,0.9735201396299252,0.3183773839330304,0.9718691628580218
1.596930773187526,0.9698954459835555,1.3626759967416924,0.9553583008948698,0.8492150497309957,0.9540936532309562,0.6763797954950942,0.9568141929538536,0.4843910269853521,0.9656119347155663,0.3668376225074238,0.965022105540161
,,1.4114490980837793,0.9469955808194427,0.8983541942892294,0.9443565883969751,0.7194509210560824,0.9489639367183893,0.5246644882506456,0.9582136240312568,0.41846244029741697,0.9566800053406082
,,1.4597256900083908,0.9372536379627513,0.9469107447173609,0.9339735306726368,0.7682200398575235,0.9390878511976661,0.5657813405848401,0.9502278809134312,0.4735688999570663,0.9469231563197091
,,1.513420068628598,0.9260327249804838,1.000173602293741,0.9219882739991034,0.8156581720963624,0.9291316327081286,0.6661704339085784,0.9301692534686555,0.5264554463936313,0.9364238838935417
,,1.5648529984499806,0.9170153053973612,1.0476053791088344,0.9096169944862899,0.8746163428089869,0.9141021071500635,0.7109934249051557,0.9191194489739021,0.5739933415049776,0.926918685784985
,,1.5976590911503088,0.9095264312943195,1.0963664295465763,0.896674930759752,0.9233842086762923,0.9037499066577865,0.7618543675300876,0.9081354039777695,0.630640016976804,0.9138044412623125
,,,,1.1451292182490216,0.8843934076206796,0.9721476892741229,0.8917313037650713,0.8113551203288228,0.8953387036398823,0.6846605547510032,0.8994675653896101
,,,,1.19442548239495,0.8707974081955343,1.0194338986049318,0.8802326869819455,0.8630769604350456,0.8837305787806147,0.728163628750565,0.88849445515476
,,,,1.2312485515608784,0.8599841273042392,1.0696676698367424,0.8650414574238411,0.9365824378708271,0.8621293923804866,0.7769262316898026,0.8761423419967392
,,,,1.271457258747061,0.848046518971243,1.1184255122309625,0.8508803371591338,0.9866708510373444,0.847890404768744,0.8246998507015774,0.862565048121359
,,,,1.320656733575515,0.8331408034422232,1.1671830861392962,0.836617192257665,1.0340970487157222,0.8333990533040259,0.870011093898044,0.8497567237253258
,,,,1.370693237745293,0.8179058326553578,1.214828722363564,0.821230028094482,1.08285220625108,0.8182176866717032,0.9169968220488939,0.8364518720732284
,,,,1.4100897718737453,0.8050403327251425,1.2646939416890328,0.8064598410208068,1.1291443040980709,0.8035454177562618,0.9680821185821878,0.821757493221598
,,,,1.4557677193690246,0.7911088749834743,1.31344879965703,0.791164638791521,1.1759277050140398,0.7882739591932317,1.0145794955637348,0.8076522829186858
,,,,1.5082886760293932,0.7741293535316671,1.3629387628303877,0.7742678808100846,1.2291106982241122,0.7700209462189358,1.0668040530715552,0.7882566082928351
,,,,1.5529038715411954,0.7590350071660733,1.4102161584525728,0.7594200547499526,1.2778633588407284,0.753890750464731,1.1124527215090565,0.7725638263883774
,,,,1.5905850602137481,0.7498684795015115,1.4591185878680752,0.7440136958147728,1.3243983260372123,0.7378616564270538,1.1630273720971722,0.7558007031247017
,,,,,,1.508459254909012,0.7265727142712304,1.3753646259370789,0.7200897869412224,1.2107291811925271,0.7383474354921474
,,,,,,1.5572112319750744,0.710182769306676,1.4285458688489583,0.701171660653624,1.2369869004069418,0.7288092107738666
,,,,,,1.5941477784285196,0.698993732170153,1.4623922332148864,0.6905598442868939,1.279531407954602,0.7134897326433534
,,,,,,,,1.5127512702860375,0.6718893548075195,1.327393903615474,0.696226694253002
,,,,,,,,1.5588713694629552,0.6553858119678803,1.3788827637635988,0.6778146315095783
,,,,,,,,1.5951723857049214,0.6388380431404952,1.4270705411422562,0.6592084252556143
,,,,,,,,,,1.461351827600054,0.6454704800497795
,,,,,,,,,,1.495342554390931,0.6337006469154742
,,,,,,,,,,1.527657189809908,0.6220157670445565
,,,,,,,,,,1.567283763035363,0.6062082522973686
,,,,,,,,,,1.5983066758424893,0.5937255467451182
